--------------------------------------------------
dataset: ZINC
device: 0
downsample: False
handtune: 
model:
  embs: (0, 1, 2)
  embs_combine_mode: concat
  gnn_type: GCNConv
  hidden_size: 128
  hops_dim: 16
  mini_layers: 5
  mlp_layers: 1
  num_layers: 6
  pool: add
  residual: True
  use_normal_gnn: False
  virtual_node: False
num_workers: 8
sampling:
  batch_factor: 1
  mode: None
  random_rate: 0.5
  redundancy: 0
  stride: 2
seed: None
subgraph:
  hops: 3
  online: True
  walk_length: 0
  walk_p: 1.0
  walk_q: 1.0
  walk_repeat: 5
task: -1
train:
  batch_size: 128
  dropout: 0.0
  epochs: 100
  lr: 0.001
  lr_decay: 0.5
  lr_patience: 50
  runs: 1
  wd: 0.0
version: final
--------------------------------------------------
Time: 2022/12/05 - 01:27
T[-1] GNN[GCNConv] L[6] Mini[5] Emb[(0, 1, 2)-concat-1] H[128] HopsEmb[16] Pool[add] VN[False] WithOri[False] Hops[3] WalkL[0] p[1.0] q[1.0] Smp[None] MR[0] Reg[0.0-0.0] Seed[None] GPU[0]
Epoch: 001, Train Loss: 0.6485, Val: -1.1261, Test: -1.1538, Seconds: 15.6202, Memory Peak: 2385 MB allocated, 2650 MB reserved.
Epoch: 002, Train Loss: 0.5349, Val: -1.9302, Test: -1.1538, Seconds: 14.1683, Memory Peak: 2385 MB allocated, 2726 MB reserved.
Epoch: 003, Train Loss: 0.4634, Val: -0.4905, Test: -0.5127, Seconds: 15.1783, Memory Peak: 2385 MB allocated, 2824 MB reserved.
Epoch: 004, Train Loss: 0.4053, Val: -0.5799, Test: -0.5127, Seconds: 14.0964, Memory Peak: 2385 MB allocated, 2824 MB reserved.
Epoch: 005, Train Loss: 0.3744, Val: -0.6090, Test: -0.5127, Seconds: 14.0529, Memory Peak: 2385 MB allocated, 2824 MB reserved.
Epoch: 006, Train Loss: 0.3615, Val: -0.4369, Test: -0.4371, Seconds: 15.1462, Memory Peak: 2385 MB allocated, 2824 MB reserved.
Epoch: 007, Train Loss: 0.3342, Val: -0.4511, Test: -0.4371, Seconds: 13.9884, Memory Peak: 2385 MB allocated, 2824 MB reserved.
Epoch: 008, Train Loss: 0.3203, Val: -0.6931, Test: -0.4371, Seconds: 14.0632, Memory Peak: 2385 MB allocated, 2824 MB reserved.
Epoch: 009, Train Loss: 0.3314, Val: -0.5067, Test: -0.4371, Seconds: 14.1742, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 010, Train Loss: 0.3059, Val: -3.1491, Test: -0.4371, Seconds: 14.1728, Memory Peak: 2401 MB allocated, 3064 MB reserved.
Epoch: 011, Train Loss: 0.3100, Val: -0.4279, Test: -0.3771, Seconds: 15.2379, Memory Peak: 2401 MB allocated, 3064 MB reserved.
